key,price,sales
19_40_2021,1756.51,4.314171921217522
19_41_2021,1756.51,4.485094893351704
19_42_2021,1756.51,3.4453966195565897
19_43_2021,1756.51,4.882154135740205
16_32_2021,49.77,42.29708792926398
16_33_2021,49.77,32.93445758900961
16_34_2021,49.77,44.93619540841327
16_35_2021,49.77,37.131122146911544
16_36_2021,49.77,33.74023362457276
16_37_2021,49.77000000000001,33.63737639932291
16_38_2021,49.77,34.43429330780029
16_39_2021,49.77,32.65288438580967
16_40_2021,49.77000000000001,33.38446399092367
16_41_2021,49.77,35.11614486650712
16_42_2021,49.77,32.23009791747846
16_43_2021,49.77,30.76822247472037
7_32_2021,128.55,8.114945451491872
7_33_2021,128.55,6.088641051711011
7_34_2021,128.55,8.823921263436581
7_35_2021,128.55,5.3571495084608864
7_41_2021,128.55,8.59174151511586
