SCRUB_ITEM,weekday,year,UNIT_QTY
47,9,2020,1.0
47,12,2020,1.0
47,19,2020,0.0
47,20,2020,1.0
47,24,2020,2.0
47,38,2020,1.0
47,39,2020,2.0
47,42,2020,3.0
47,43,2020,12.0
47,44,2020,19.0
47,45,2020,17.0
47,46,2020,13.0
47,47,2020,18.0
47,48,2020,25.0
47,49,2020,13.0
47,50,2020,12.0
47,51,2020,40.0
47,52,2020,25.0
47,53,2020,17.0
47,3,2021,10.0
47,4,2021,12.0
47,5,2021,6.0
47,6,2021,10.0
47,7,2021,12.0
47,8,2021,4.0
47,9,2021,3.0
47,10,2021,4.0
47,11,2021,5.0
47,12,2021,4.0
47,13,2021,1.0
47,14,2021,2.0
47,15,2021,3.0
47,16,2021,2.0
47,17,2021,2.0
47,18,2021,1.0
47,24,2021,1.0
47,29,2021,2.0
49,1,2018,2.0
49,2,2018,2.0
49,4,2018,3.0
49,5,2018,2.0
49,6,2018,1.0
49,7,2018,1.0
49,8,2018,1.0
49,10,2018,1.0
49,11,2018,2.0
49,14,2018,1.0
49,16,2018,2.0
49,19,2018,1.0
49,20,2018,1.0
49,21,2018,3.0
49,23,2018,1.0
49,24,2018,1.0
49,25,2018,2.0
49,27,2018,1.0
49,32,2018,1.0
49,33,2018,1.0
49,34,2018,1.0
49,35,2018,2.0
49,36,2018,1.0
49,37,2018,1.0
49,38,2018,2.0
49,39,2018,2.0
49,40,2018,3.0
49,41,2018,2.0
49,42,2018,3.0
49,43,2018,1.0
49,44,2018,3.0
49,45,2018,4.0
49,46,2018,7.0
49,47,2018,5.0
49,48,2018,5.0
49,49,2018,5.0
49,50,2018,7.0
49,51,2018,8.0
49,52,2018,2.0
49,1,2019,2.0
49,2,2019,4.0
49,3,2019,6.0
49,4,2019,1.0
49,5,2019,2.0
49,6,2019,2.0
49,7,2019,4.0
49,8,2019,5.0
49,9,2019,3.0
49,10,2019,1.0
49,11,2019,1.0
49,13,2019,3.0
49,18,2019,1.0
49,19,2019,3.0
49,22,2019,1.0
49,23,2019,1.0
49,24,2019,1.0
49,25,2019,1.0
49,27,2019,1.0
49,29,2019,1.0
49,30,2019,1.0
49,34,2019,2.0
49,35,2019,1.0
49,36,2019,2.0
49,37,2019,5.0
49,38,2019,3.0
49,39,2019,4.0
49,40,2019,3.0
49,41,2019,2.0
49,42,2019,7.0
49,43,2019,7.0
49,44,2019,6.0
49,45,2019,11.0
49,46,2019,5.0
49,47,2019,12.0
49,48,2019,11.0
49,49,2019,4.0
49,50,2019,14.0
49,51,2019,10.0
49,52,2019,6.0
